code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL008017,AL,340.55393849999996,PINUS SYLVESTRIS,1715.79,1515,1902,high,10206.25,37.27069,-2.61551,NA,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,4,2
AL019022,AL,59.803915599999996,PINUS NIGRA SSP SALZM.,1667.34,1483,1780,medium,3523.85,37.25537,-2.55385,NA,1,1,0,0,4,0,0,0,0,1,0,0,NA,0,1,1,2,2,2,1,1,2,2,3,3,3
AL019023,AL,92.5259071,PINUS PINASTER,1420.63,1236,1644,medium,4655.15,37.25121,-2.47537,NA,0,1,0,0,2,1,0,0,0,1,0,0,NA,0,1,1,1,1,2,1,1,1,3,4,2,3
AL019024,AL,74.26082120000001,PINUS PINASTER,1513.28,1356,1739,medium,4218.91,37.24503,-2.46714,NA,1,3,0,0,2,1,0,0,0,2,0,0,NA,0,1,1,1,1,1,0,0,1,4,3,3,3
AL019025,AL,90.741425,PINUS NIGRA SSP SALZM.,1649.39,1473,1797,medium,7324.45,37.24263,-2.43206,NA,1,2,0,0,1,0,0,0,0,1,0,1,NA,0,1,0,1,1,1,0,0,1,4,4,4,3
AL019026,AL,77.3367865,PINUS NIGRA SSP SALZM.,1588.59,1396,1759,medium,5743.84,37.24217,-2.44032,NA,1,2,0,0,2,0,0,0,0,1,0,1,NA,0,1,0,1,1,1,0,0,1,4,3,3,3
AL019027,AL,86.8468968,PINUS NIGRA SSP SALZM.,1654.23,1500,1793,medium,4390.33,37.24336,-2.4578,NA,5,3,0,1,2,0,0,0,1,2,0,1,NA,1,1,1,1,1,2,1,1,1,4,4,3,2
AL019028,AL,88.2183229,PINUS NIGRA SSP SALZM.,1458.05,1302,1677,medium,8482.53,37.24038,-2.47348,NA,0,1,0,0,4,0,0,0,0,1,0,0,NA,0,1,1,1,1,1,0,0,1,4,4,3,3
AL019029,AL,40.579875699999995,PINUS NIGRA SSP SALZM.,1570.54,1301,1729,medium,4803.61,37.24663,-2.48123,NA,0,2,0,0,2,0,0,0,1,1,0,0,NA,0,1,1,1,1,1,0,0,0,4,4,3,3
AL019030,AL,1040.0892552999999,PINUS SYLVESTRIS,1904.19,1458,2162,high,16998.66,37.2332,-2.53133,NA,1,1,0,0,2,0,0,0,0,1,0,0,NA,0,1,1,1,1,1,0,0,1,3,2,3,3
AL019031,AL,296.0933799,PINUS SYLVESTRIS,1761.71,1570,1857,high,13028.17,37.23388,-2.43624,NA,1,1,0,0,1,0,0,0,0,1,0,0,NA,0,1,1,2,0,0,0,0,1,4,4,3,3
AL019032,AL,206.80877239999998,PINUS SYLVESTRIS,1686.41,1503,1808,medium,6338.14,37.23361,-2.45589,NA,1,0,0,1,3,0,0,0,0,2,0,1,NA,0,2,1,2,0,0,0,0,1,4,4,3,3
AL019033,AL,263.94738709999996,PINUS SYLVESTRIS,1774.85,1602,1927,high,7892.59,37.235,-2.50294,NA,0,0,1,0,2,1,0,0,1,2,0,1,NA,0,1,1,1,1,1,0,0,1,3,3,2,3
AL019034,AL,86.0872263,PINUS SYLVESTRIS,1850.71,1729,1929,high,5058.93,37.22989,-2.42062,NA,1,0,0,0,1,0,0,1,0,2,1,1,NA,0,1,1,2,0,0,0,0,1,4,3,3,2
AL019035,AL,261.3769857,PINUS SYLVESTRIS,1732.42,1425,1954,high,8506.08,37.22603,-2.4655,NA,0,2,0,0,3,0,0,1,0,2,0,0,NA,0,1,2,2,0,0,0,0,1,3,2,3,2
AL019036,AL,19.278366899999998,PINUS NIGRA SSP SALZM.,1647.19,1514,1738,medium,2571.71,37.23249,-2.48633,NA,0,1,1,1,2,0,0,0,0,1,0,0,NA,0,1,1,1,1,1,0,0,0,3,2,3,3
AL019037,AL,270.211363,PINUS SYLVESTRIS,1794.1,1493,1984,high,11770.64,37.2202,-2.48288,NA,0,1,0,0,1,0,0,0,0,2,0,0,NA,0,1,1,1,1,1,0,1,1,2,2,2,2
AL019038,AL,123.8536089,PINUS NIGRA SSP SALZM.,1772.51,1619,1905,high,9417.59,37.22437,-2.50119,NA,1,1,0,0,2,0,0,0,0,1,0,0,NA,0,1,1,1,1,1,0,1,1,3,4,2,3
AL019039,AL,72.3869472,PINUS SYLVESTRIS,1889.46,1846,1941,high,4357.95,37.22599,-2.43568,NA,1,0,0,0,1,0,0,1,0,2,0,0,NA,0,2,1,2,0,0,0,0,1,3,4,3,2
AL019040,AL,76.4478135,PINUS SYLVESTRIS,1825.81,1686,1909,high,4388.01,37.22235,-2.45062,NA,0,0,0,0,1,0,0,1,0,2,0,0,NA,0,1,0,1,1,1,0,0,1,3,2,3,3
AL019041,AL,220.5658511,PINUS SYLVESTRIS,1852.9,1615,2001,high,6801.99,37.215089999999996,-2.50459,NA,1,0,0,0,2,0,0,0,0,1,0,1,NA,0,1,1,1,1,1,0,0,1,3,2,2,3
AL019042,AL,37.7046115,PINUS SYLVESTRIS,1959.82,1910,2008,high,4940.36,37.21499,-2.47543,NA,0,1,0,0,1,0,0,1,0,2,0,1,NA,1,1,1,1,1,1,0,1,1,4,5,3,2
AL020001,AL,251.53331490000002,PINUS SYLVESTRIS,2043.65,1847,2196,high,12783.12,37.09275,-3.01678,NA,0,0,0,0,0,1,0,0,NA,2,2,2,1,0,1,0,0,2,2,0,1,1,1,0,1,1
AL020002,AL,294.6546057,PINUS NIGRA SSP AUSTR.,2079.22,1867,2288,high,11968.91,37.0681,-2.98175,NA,1,0,0,0,3,1,0,0,NA,1,2,3,2,1,1,0,0,1,3,2,2,1,1,1,2,2
